Series_Title,Released_Year,Keywords,date_details,Certificate
The Dirty Dozen,1967,"['mission', 'based on novel or book', 'nazi', 'secret mission', 'world war ii', 'castle', 'hand grenade', 'training', 'us army', 'fistfight', 'shootout', 'suicide mission', 'soldier', 'explosion', 'commando', 'behind enemy lines', 'military police']",1967-06-15,NR
Belle de jour,1967,"['adultery', 'prostitute', 'jealousy', 'dreams', 'husband wife relationship', 'dual identity', 'double life', 'sexual frustration', 'brothel', ""women's sexual identity"", 'masochism', 'sexual exploration']",1967-05-24,R
A Man for All Seasons,1966,"['death penalty', 'england', 'pope', 'beheading', 'protestant church', 'oath', 'based on play or musical', 'tudor', 'henry viii', 'british monarchy']",1966-12-12,G
Repulsion,1965,"['london, england', 'schizophrenia', 'post-traumatic stress disorder (ptsd)', 'hallucination', 'rent', 'loneliness', 'black and white', 'psychosis']",1965-06-01,NR
Zulu,1964,"['africa', 'south africa', 'british army', 'british empire', 'based on true story', 'mixed martial arts (mma)', 'attempted rape', 'zulu', 'tribal warfare', '19th century', 'thoughtful', 'dramatic']",1964-01-22,NR
Goldfinger,1964,"['airplane', 'based on novel or book', 'england', 'secret intelligence service', 'golf', 'secret organization', 'nuclear radiation', 'fort knox', 'aston martin', 'secret lab', 'laser', 'kentucky', 'gas attack', 'mi6', 'british secret service', 'duringcreditsstinger']",1964-09-17,PG
The Birds,1963,"['pet shop', 'seclusion', 'playground', 'fireplace', 'seagull', 'bird attack', 'socialite', 'based on short story', 'practical joke', 'schoolteacher', 'lovebird', 'shopkeeper', 'unsolved mystery', 'schoolhouse', 'frightened']",1963-03-28,NR
Cape Fear,1962,"['small town', 'psychopath', 'poison', 'ex-detainee', 'boat', 'film noir', 'lawyer', 'killing a dog', 'listening to the radio', 'aggressive', 'intense', 'threat to family', 'family terrorized']",1962-04-12,PG
Peeping Tom,1960,"['london, england', 'primal fear', 'photography', 'obsession', 'childhood trauma', 'serial killer', 'landlord', 'boarding house', 'filmmaking', 'illegal prostitution', 'peeping tom', 'loner', 'voyeurism', 'blind mother', 'traumatic childhood', 'blind woman', 'sexual predator', 'proto-slasher', 'male gaze', 'mother and daughter', 'disturbed person', 'psychological trauma', 'psychological distress', 'focus puller']",1960-04-07,NR
The Magnificent Seven,1960,"['friendship', 'village', 'horse', 'remake', 'bandit', 'farmer', 'cowboy', ""white man's burden"", 'henry rifle', 'hired gun']",1960-10-12,NR
Les yeux sans visage,1960,"['experiment', 'surgeon', 'film noir', 'black and white', 'photograph', 'scientist', 'transplant', 'dove', 'ulcer']",1960-01-11,NR
Invasion of the Body Snatchers,1956,"['small town', 'based on novel or book', 'alien', 'black and white', 'doctor', 'patient', 'alien invasion', 'psychiatrist', 'alien infection', 'angry mob', 'doppelgänger', 'mystery writer', 'body snatchers', 'emotionless', 'paranoid', 'abandoned mine', 'personality change', 'alien plant-life']",1956-02-05,NR
Rebel Without a Cause,1955,"['individual', 'underground world', 'street gang', 'unsociability', 'car race', 'parent child relationship', 'authority', 'rebel', 'coming of age', 'based on short story', 'teen rebel', 'griffith observatory', 'teenager', 'gay subtext']",1955-10-26,PG-13
The Ladykillers,1955,"['widow', 'dark comedy', 'parrot', 'gang of thieves', 'money', 'criminal', 'old lady', 'landlady', 'planning', 'steam locomotive', 'octogenarian', 'quintet', 'armored van robbery', 'rented rooms', 'bumbling crooks']",1955-12-08,NR
Sabrina,1954,"['chauffeur', 'sibling relationship', 'champagne', 'playboy', 'love', 'teenage crush', 'millionaire', 'high society', 'manhattan, new york city', 'impossible love', 'family disapproval']",1954-09-01,NR
The Quiet Man,1952,"['countryside', 'fight', 'brother', 'widow', 'boxer', 'beer', 'love', 'rural area', 'cottage', 'train', 'ireland', 'dowry', 'technicolor', 'return to birthplace', 'temper']",1952-07-21,NR
The Day the Earth Stood Still,1951,"['spacecraft', 'flying saucer', 'peace', 'remote control', 'ufo', 'social commentary', 'giant robot', 'black and white', 'military', 'physics professor', 'humanity', 'alien technology']",1951-09-18,G
The African Queen,1951,"['world war i', 'faith', 'africa', 'missionary', 'boat', 'river', 'hope', 'patriotism', 'hippopotamus', 'giraffe', 'methodist church', 'animal species', 'moqukito', 'boat wedding', 'leech', 'gin', 'tanzania', 'congo', 'man woman relationship', 'technicolor']",1951-12-26,PG
Gilda,1946,"['jealousy', 'casino', 'penalty', 'nightclub', 'buenos aires, argentina', 'tricks', 'patent', 'film noir', 'argentina', 'extramarital affair']",1946-03-14,NR
Fantasia,1940,"['classical music', 'cartoon', 'villain', 'orchestra', 'musical', 'cartoon mouse', 'wizard', 'live action and animation', 'amused', 'joyful']",1940-11-13,G
The Invisible Man,1933,"['based on novel or book', 'insanity', 'chemical', 'train accident', 'mad scientist', 'murder', 'fugitive', 'snow', 'black and white', 'chemist', 'scientist', 'invisible', 'pre-code', 'invisible person', 'invisibility', 'manhunt', 'experiment gone awry', 'invisible man']",1933-11-03,NR
Dark Waters,2019,"['pollution', 'grave', 'biography', 'based on true story', 'lawsuit', 'west virginia', 'cancer', 'lawyer', 'biting', 'farmer', 'water pollution', 'government corruption', 'mysterious', 'paranoid', 'grim', '1990s', 'somber', 'based on magazine, newspaper or article', 'anxious', 'legal thriller', 'chemical contamination', 'blood test', 'clinical', 'suspenseful', 'critical', 'foreboding', 'ominous']",2019-11-12,PG-13
Searching,2018,"['california', 'stalker', 'disappearance', 'internet', 'east asian lead', 'police detective', 'missing person', 'missing child', 'computer screen', 'found footage', 'social media', 'missing daughter', 'mysterious', 'facebook', 'live stream', 'father daughter relationship', 'screenlife', 'asian american', 'distressing']",2018-01-18,PG-13
Once Upon a Time... in Hollywood,2019,"['movie business', 'male friendship', 'cult', 'based on true story', 'celebrity', 'fame', 'hollywood', 'los angeles, california', 'historical fiction', 'buddy', 'filmmaking', 'struggling actor', 'satanic cult', 'revisionist history', 'duringcreditsstinger', 'western filmmaking', 'manson family murders', 'disturbed', '1960s', 'stunt double', 'old hollywood', 'sharon tate', 'charles manson', 'disgusted']",2019-05-21,R
Nelyubov,2017,"['dysfunctional family', 'divorce', 'missing child', 'loveless']",2017-05-18,R15+
The Florida Project,2017,"['florida', 'friendship', 'parent child relationship', 'drug addiction', 'innocence', 'motel', 'drug use', 'summer', 'single mother', 'social services', 'prostitute mother', ""children's perspectives"", 'kids', 'orlando florida', 'generation z', 'lower class', 'peer relationship', 'mother daughter relationship', 'unfit mother', 'non-professional acting']",2017-05-22,R
Just Mercy,2019,"['death penalty', 'judge', 'innocence', 'based on true story', 'lawyer', 'electric chair', 'racism', 'execution', 'justice', 'humiliation', 'injustice', '1980s', 'legal drama', 'earnest', 'excited', 'based on real person', 'concealing the truth']",2019-09-06,PG-13
Gifted,2017,"['cat', 'mathematics', 'intellectually gifted', 'child prodigy', 'teacher', 'school', 'prize', 'child custody', 'legal drama', 'gifted children', 'custody hearing']",2017-04-07,PG-13
The Peanut Butter Falcon,2019,"['escape', 'runaway', 'wrestling', 'down syndrome', 'on the run', 'wrestling coach', 'raft', 'nursing home', 'disability', 'dream come true', 'escape plan', 'southern gothic']",2019-03-09,PG-13
Victoria,2015,"['berlin, germany', 'love at first sight', 'bullet wound', 'bank robbery', 'playing piano', 'real time', 'genre bending', 'concert pianist', 'single take', 'zealous', 'one take', 'techno music', 'running from police', 'audacious', 'awestruck', 'exhilarated']",2015-02-07,NR
Mustang,2015,"['sibling relationship', 'arranged marriage', 'sexism', 'turkey', 'run away', 'sexual violence', 'teenage girl', 'gang', 'female protagonist', 'teenage sexuality', 'teen suicide', 'woman director', 'abusive family', 'sisters', 'bitter', 'conservative values']",2015-05-19,PG-13
Guardians of the Galaxy Vol. 2,2017,"['superhero', 'based on comic', 'sequel', 'misfit', 'space', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)', 'egotistical']",2017-04-19,PG-13
Baby Driver,2017,"['robbery', 'waitress', 'atlanta', 'crime boss', 'romance', 'heist', 'getaway car', 'on the run', 'shootout', 'bank robbery', 'getaway driver', 'sign languages', 'armed robbery', 'aggressive', 'hearing impaired', 'joyful', 'urgent']",2017-03-11,R
Only the Brave,2017,"['fire', 'bravery', 'arizona', 'natural disaster', 'heroism', 'addiction', 'based on true story', 'tragedy', 'firefighting', 'test by fire', 'forest fire', 'firefighter', 'based on magazine, newspaper or article', 'wildfire', 'proving oneself']",2017-09-22,PG-13
Bridge of Spies,2015,"['central intelligence agency (cia)', 'spy', 'cold war', 'soviet union', 'pilot', 'lawyer', 'american', 'courtroom', 'russian spy', 'legal drama']",2015-10-04,PG-13
Incredibles 2,2018,"['married couple', 'superhero', 'cartoon', 'villain', 'sequel', 'parenting', 'family', 'super power', 'female villain', 'supervillain', 'colorful']",2018-06-05,PG
Moana,2016,"['sailboat', 'sea', 'island', 'saving the world', 'ocean', 'cartoon', 'mythology', 'villain', 'musical', 'coming of age', 'curse', 'sailor', 'aftercreditsstinger', 'demigod', 'polynesia', 'voyage', 'pacific  ocean', 'quest', 'island life', 'animal sidekick']",2016-10-13,PG
Sicario,2015,"['mission', 'assassin', 'central intelligence agency (cia)', 'mexico', 'corruption', 'bomb', 'fbi', 'smoking', 'texas', 'border', 'manipulation', 'cynicism', 'revenge', 'murder', 'dirty cop', 'football (soccer)', 'brutality', 'drugs', 'special forces', 'interrogation', 'desert', 'surveillance', 'night vision', 'death of daughter', 'moral dilemma', 'neo-noir', 'death of wife', 'mexican cartel', 'secret tunnel', 'violence', 'audacious', 'juárez, mexico']",2015-05-19,R
Creed,2015,"['underdog', 'mexico', 'philadelphia, pennsylvania', 'sports', 'mentor', 'trainer', 'cancer', 'spin off', 'underground fighting', 'boxing trainer', 'motivational speaker', 'boxing', 'legacy', 'boxing manager', 'boxing champion']",2015-11-19,PG-13
Leviafan,2014,"['small town', 'mayor', 'car mechanic', 'political corruption', 'coastal town', 'russian']",2014-05-23,R
Hell or High Water,2016,"['brother', 'texas', 'bank robber', 'road trip', 'gun battle', 'police officer killed', 'criminal', 'held at gunpoint', 'car fire', 'cowboy', 'small western town', 'neo-western', 'divorced father', 'bullet hole', 'audacious']",2016-05-16,R
Philomena,2013,"['journalist', 'london, england', 'washington dc, usa', 'based on novel or book', 'nurse', 'faith', 'forgiveness', 'orphanage', 'adoption', 'based on true story', 'scandal', 'ireland', 'teenage pregnancy', 'chance meeting', 'human interest', 'unwed mother', 'international adoption', 'search for child', 'mother son relationship', 'abbey', 'convent', 'deep sadness', 'irish', 'secrets']",2013-08-31,PG-13
Dawn of the Planet of the Apes,2014,"['san francisco, california', 'peace', 'solidarity', 'gorilla', 'intelligence', 'dystopia', 'horse', 'post-apocalyptic future', 'pacifism', 'animal attack', 'colony', 'tank', 'forest', 'sequel', 'woods', 'anthropomorphism', 'dam', 'revenge', 'betrayal', 'golden gate bridge', 'explosion', 'ape', 'scientist', 'orangutan', 'death', 'chimpanzee', 'medical research', 'primate', 'dead horse', 'allegorical', 'sign languages', 'virus', 'plague', 'assassination attempt', 'shocking', 'aggressive', 'murder by gunshot', 'contagion', 'guns', 'soldiers', '2030s', 'animal human friendship', 'war', 'cgi-live action hybrid', 'violence against animals', 'war horse', 'intense', 'depressing', 'bitter', 'bold', 'powerful', 'horse riding']",2014-06-26,PG-13
El cuerpo,2012,"['prison', 'infidelity', 'identity', 'poison', 'detective', 'morgue', 'femme fatale', 'love', 'revenge', 'murder', 'missing person']",2012-10-04,15
Serbuan maut,2011,"['martial arts', 'crime boss', 'tenement', 'high rise', 'monitor', 'tower block', 'jakarta indonesia', 'swat', 'aggressive', 'powerful']",2011-09-08,R
End of Watch,2012,"['friendship', 'street gang', 'ambush', 'human trafficking', 'arrest', 'shootout', 'los angeles, california', 'brutality', 'gang member', 'rookie cop', 'u.s. marine', 'pregnant wife', 'bullet proof vest', 'medal of valor', 'police sergeant', 'felon', 'golden gun', 'video camera', 'appreciative']",2012-09-08,R
Kari-gurashi no Arietti,2010,"['based on novel or book', 'cat', 'forest', ""based on children's book"", 'little people', 'dollhouse', 'nostalgic', 'anime']",2010-07-16,G
A Star Is Born,2018,"['concert', 'country music', 'waitress', 'pop star', 'self-destruction', 'talent', 'addiction', 'death of father', 'alcoholism', 'remake', 'aspiring singer', 'singer', 'fame', 'tinnitus', 'falling in love', 'insecurity', 'alcoholic', 'death of mother', 'aspiration', 'death of parent', 'showbiz', 'emotional vulnerability', 'hearing impaired', 'brother brother relationship', 'dramatic', 'romantic', 'admiring']",2018-08-31,R
True Grit,2010,"['bounty hunter', 'based on novel or book', 'father murder', 'loss of loved one', 'texas ranger', 'arkansas', 'alcoholism', 'betrayal', 'eye patch']",2010-12-14,PG-13
Hævnen,2010,"['friendship', 'africa', 'refugee camp', 'knife', 'bullying', 'sudan', 'bully', 'hospital', 'divorce', 'woman director', 'homemade explosive', 'father son relationship']",2010-08-26,R
Despicable Me,2010,"['moon', 'parent child relationship', 'orphanage', 'villain', 'adoptive father', ""life's dream"", 'rivalry', 'ballet', 'stealing', 'little girl', 'orphan', 'tomboy', 'intelligent', 'evil doctor', 'duringcreditsstinger', 'supervillain', 'illumination', 'joyful']",2010-06-07,PG
50/50,2011,"['friendship', 'parent child relationship', 'therapist', 'painter', 'cancer', 'psychologist', 'hospital', 'best friend', 'doctor', 'patient', 'doctor patient relationship', 'vomiting', 'chemotherapy']",2011-09-12,R
Kick-Ass,2010,"['hero', 'secret identity', 'crime fighter', 'superhero', 'dark comedy', 'comic book', 'based on comic', 'murder', 'mafia', 'family', 'realism', 'mist', 'adventurer', 'rookie', 'young heroes', 'aggressive', 'young adult', 'criminal heroes', 'heroes', 'pretending to be gay', 'intense', 'powerful']",2010-03-12,R
Celda 211,2009,"['suicide', 'husband wife relationship', 'based on novel or book', 'pregnancy', 'prison cell', 'penitentiary', 'prison guard', 'flashback', 'jail', 'eta terrorist group', 'walkie talkie', 'prison riot', 'surveillance camera', 'wrist slitting', 'gagged', 'violence']",2009-09-04,18
Moneyball,2011,"['underdog', 'california', 'sports', 'baseball', 'based on true story', 'oakland, california', 'job transfer', 'oakland athletics', 'talent manager', 'statistics', '2000s', 'major league baseball (mlb)']",2011-09-23,PG-13
La piel que habito,2011,"['mask', 'based on novel or book', 'madrid, spain', 'isolation', 'obsession', 'face transplant', 'plastic surgery', 'half-brother', 'sex change', 'revenge', 'dress', 'plastic surgeon', 'skin', 'nonlinear timeline', 'locked up', 'captivity']",2011-05-19,R
Zombieland,2009,"['washington dc, usa', 'sibling relationship', 'circus', 'post-apocalyptic future', 'gore', 'parody', 'road trip', 'zombie', 'survival horror', 'amusement park', 'twinkie', 'body count', 'zombification', 'disposing of a dead body', 'loner', 'aftercreditsstinger', 'zombie apocalypse', 'satirical', 'fear of clowns', 'absurd', 'dramatic', 'hilarious', 'enthusiastic', 'exhilarated', 'foreboding', 'frightened', 'sarcastic']",2009-10-02,R
Die Welle,2008,"['high school', 'experiment', 'dictator', 'gymnasium', 'trainer', 'classroom', 'fascism', 'national socialism', 'violence in schools', 'training', 'education', 'squatter', 'anarchist', 'homepage', 'high school teacher', 'philosophical', 'water polo', 'autocracy']",2008-03-13,15
